idmedico,especilidades_id,nome,crm,data_nascimento,cpf,telefone,endereco
NULL,NULL,"ANNY QUINTANILHA",120935,11/10/1970,NULL,NULL,NULL
NULL,NULL,"SUELI SIMAO PEGADO",15891,27/08/1990,NULL,NULL,NULL
NULL,NULL,"ALISSON SACRAMENTO",178105,15/01/1981,NULL,NULL,NULL
NULL,NULL,"LIVIA VELOSO",17897,13/02/1964,NULL,NULL,NULL
NULL,NULL,"GAEL MILHEIRO LEMES",9826,12/09/1980,NULL,NULL,NULL
NULL,NULL,"GISELA ESPINOSA",34548,14/10/1979,NULL,NULL,NULL
NULL,NULL,"NELSON ANJOS PALMEIRA",344789,13/02/1980,NULL,NULL,NULL
NULL,NULL,"EZEQUIEL PESTANA HENRIQUES",9756,14/10/1979,NULL,NULL,NULL
NULL,NULL,"TITO CARQUEIJEIRO",14777,19/05/1973,NULL,NULL,NULL
NULL,NULL,"FABIANO GOMIDE",65765,31/08/1989,NULL,NULL,NULL
NULL,NULL,"CISTOVAO XAVIER ",67432,12/12/1979,NULL,NULL,NULL
NULL,NULL,"ALBERTO VERISSIMO ",13548,26/06/1986,NULL,NULL,NULL
NULL,NULL,"JULIA CAMARINHO ",24654,05/07/1980,NULL,NULL,NULL
